id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5RZ3G4V3mtsoEbmTg20E1Y,Błagam nie odmawiaj,19,332440,0,['Obywatel G.C'],['0Y0MpkBrGD02Cx3Mmhfa9I'],1986-01-01,0.605,0.929,5,-9.56,0,0.0713,0.0626,0.00149,0.246,0.495,107.216,4
2buoIGwteTZGpBMXYJ6OdF,Powstanie Chatki Puchatka,18,505240,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.685,0.186,8,-20.985,1,0.921,0.712,0.0,0.448,0.527,106.694,3
7M20canvs53XMQ0k2cN86s,Spoza lini świata,18,286533,0,['Obywatel G.C'],['0Y0MpkBrGD02Cx3Mmhfa9I'],1986-01-01,0.548,0.507,9,-11.479,0,0.038,0.0455,0.0435,0.0615,0.318,139.546,4
2ZkSJIBnA1DQLjQFzTSDPk,"Please, Tell Me Daddy",18,172040,0,['Natalia Kukulska'],['71ADVpJx1rN662ENAJIcUZ'],1986-06-10,0.457,0.427,11,-13.656,0,0.0308,0.456,3e-06,0.0727,0.783,107.359,3
4pu28N5U4nYxlsCClu7GYQ,Tygrys przybywa do Lasu,17,550733,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.665,0.236,1,-18.757,1,0.953,0.675,0.0,0.468,0.586,82.705,4
2skhmInG7hdYE9QLwlzWWo,Poszukiwanie tajemniczego Jentyka,17,387907,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.713,0.124,8,-19.327,1,0.91,0.681,0.0,0.26,0.495,122.969,4
1lIKQrgq3vTeaiXxNg0FgN,Jak Tygrys został odbryknięty,16,775893,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.682,0.181,10,-19.06,1,0.902,0.714,0.0,0.284,0.483,108.983,4
6fOU3vMfmOMu7Let3TrclQ,Pożegnanie z Krzysiem,15,239867,0,['Bajka Muzyczna'],['5bnxS5RyPx8i1ZM4AK54rN'],1986-05-21,0.713,0.247,2,-15.061,1,0.897,0.747,0.0,0.3,0.592,117.493,3
3DkTQWc8K5bElkZL2K7At7,Kaspar hauser,15,263747,0,['Obywatel G.C'],['0Y0MpkBrGD02Cx3Mmhfa9I'],1986-01-01,0.61,0.599,9,-13.152,0,0.034,0.102,0.515,0.143,0.433,93.604,4
4I1QV4BgbYS9r2ugjuUe0h,Moje modły,14,400360,0,['Obywatel G.C'],['0Y0MpkBrGD02Cx3Mmhfa9I'],1986-01-01,0.49,0.721,4,-10.551,0,0.0526,0.142,0.852,0.375,0.183,115.089,4
4gpICbvclOySpyVXBTY20f,Za każdą cenę,15,239360,0,['Andrzej Rybinski'],['48kkLmNVBdHRlX9xd5SIl0'],1986-12-31,0.633,0.5,4,-8.563,0,0.0379,0.0759,0.0,0.102,0.512,115.636,4
3b4dkcFF9qt9C0e3qN3kCd,Kosmiczne opowiadania,14,288000,0,['Marek Bilinski'],['2MFdUyGa1eKDvMT6wCOlhT'],1986,0.171,0.836,5,-8.464,0,0.0497,4.14e-06,0.754,0.127,0.191,66.183,4
11n5B9Z7FX3krNqRh2AvQP,Don't Lose Your Mind,25,349333,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1986-12,0.639,0.503,9,-15.467,0,0.0375,0.0129,0.135,0.133,0.866,143.031,4
5WOfSY2RAsfP024P5s5oYd,Znajdę Cię,12,186533,0,['Andrzej Rybinski'],['48kkLmNVBdHRlX9xd5SIl0'],1986-12-31,0.658,0.638,9,-7.034,1,0.0359,0.368,2.89e-06,0.0892,0.942,75.994,4
3eQqek1uzLNjKTMPK4qRkL,Perfect Way,27,274640,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1986-12,0.757,0.499,5,-13.984,1,0.0378,0.106,0.296,0.302,0.714,105.166,4
5JBrDXF0NcUFN0rYq642xs,Backyard Ritual,26,289027,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1986-12,0.717,0.504,7,-15.505,1,0.038,0.0463,0.527,0.154,0.622,100.278,4
6Qx8IXCW3vX94FaChkpArX,Gorące lato,11,224002,0,['Marek Bilinski'],['2MFdUyGa1eKDvMT6wCOlhT'],1986,0.524,0.557,5,-7.43,1,0.0262,0.0055,0.696,0.195,0.209,111.708,4
2R7ahN2EbjQiCk2fOslK7y,Heart of the Sun,17,247902,0,['Red Box'],['4TvQ6wnXv3aDNv29JH6App'],1986,0.593,0.79,10,-10.026,1,0.0268,0.271,0.00575,0.18,0.89,100.281,4
6dpu2rfHZ6zaZiNO0yey4I,Full Nelson,25,307000,0,['Miles Davis'],['0kbYTNQb4Pb1rPbbaF0pT4'],1986-12,0.85,0.562,3,-14.996,0,0.0614,0.0579,0.531,0.0436,0.724,110.133,4
2E6r6BX1heNX8fmZh5RFKA,Michelle,25,178973,0,['Clan of Xymox'],['1wHmR7I0UlF58WFQexCPha'],1986-11-01,0.622,0.798,11,-10.151,0,0.0429,0.00778,0.0139,0.255,0.231,118.88,4
3LRlPkOy6rc15hJlG9kUSR,Bulwary nad rzeką wspomnień,10,338998,0,['Marek Bilinski'],['2MFdUyGa1eKDvMT6wCOlhT'],1986,0.437,0.909,8,-7.521,1,0.0745,0.0021,0.702,0.112,0.194,161.715,4
0ouCLEajgmrZQOKLwaIjOO,Metal and Hell,12,163240,0,['KAT'],['5UQXUSiWPn8CJIhTvok8fE'],1986-04-17,0.104,0.919,4,-4.784,0,0.147,1.81e-06,0.763,0.164,0.327,190.338,4
5WT8INDGyKM8ksTznGGCir,Pocieszanka,10,211413,0,['Andrzej Rybinski'],['48kkLmNVBdHRlX9xd5SIl0'],1986-12-31,0.629,0.669,9,-6.918,0,0.0275,0.0977,1.32e-05,0.245,0.878,137.87,4
