id,followers,genres,name,popularity
73MDPnjHtoqOexpBNe4FPl,8571.0,['dutch trance'],DJ Jean,47
18UStRMkfnMhX5Qxzhylej,14207.0,"['euphoric hardstyle', 'hardstyle', 'rawstyle']",MYST,51
4DQ2t0Ir2VbuQBSyuSzloL,1004.0,"['swedish hip hop', 'swedish trap pop']",Kids of revolution,45
7M5QLYpzgeunQvZiJWMOiy,227.0,[],Raff J.R,48
7lVzaolIf7yhA6DSnQuxaD,6132.0,[],Andreas Grega,35
4bvWFV51SAEocM22uiDOza,11235.0,['la pop'],Pretty Sister,45
45hO5u8evtwIpSYefQHW8P,20139.0,"['gothenburg hip hop', 'swedish hip hop', 'swedish trap pop']",Lani Mo,49
5nIPWm5XA6Cy6zVYkjpCe2,17804.0,"['danspunk', 'russelater']",Kuselofte,60
5EzPaejJ1QA4wkTLV37e60,13368.0,"['glam metal', 'glam rock', 'hard rock', 'melodic hard rock', 'sleaze rock']",Wig Wam,41
5im4dgusFQfg3u2UGPYvEF,44980.0,"['swedish hip hop', 'swedish trap pop']",Saliboy,52
65lCLhmmyUwnPBD2Bq7FQx,44163.0,"['europop', 'sami', 'swedish pop']",Jon Henrik Fjällgren,48
5dSnbLNmUdguVNTAV5Ctk1,130092.0,[],Chris Kläfford,55
1KkTJhtaLirWCzc27XieOz,1028.0,[],Tjuven,50
2k0zkxxRvJKwiHQq5QfjYn,33090.0,"['australian alternative rock', 'australian rock']",Models,42
48kXmrNGCBMAz7N8x1J2na,27592.0,['australian rock'],Eurogliders,42
1O7bUkov2v71fDS60GOfMD,12149.0,['sleep'],White Noise Therapy,62
4jbcqKzc4Wuy6MivHhzPrP,87514.0,"['barbadian pop', 'post-teen pop']",Cover Drive,50
4hle3Pe9N7Vm9bNcvrfN92,613.0,[],Layla Kaylif,26
4Siyzg8kWayQfPQsPSl6JI,16707.0,"['dutch house', 'house']",Shermanology,51
2nCH7NlCpkfhzJMS4opstC,4001.0,"['deep disco', 'disco']",Madleen Kane,32
5BEYGWk6aPdNXxBx9pwU8S,26137.0,"['c86', 'madchester', 'scottish indie']",The Soup Dragons,40
3M1eBsR4rSTcDAzYopumeG,46700.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Asme,58
0R2CSw4gwYXcntoB1cLji0,594.0,['poetry'],Wallace Stevens,7
5NoiKdpHF5fhmtzA0Uxwe5,25.0,[],The Satisfiers,21
4bVRik3rG4YkBYfv5RV0QT,313.0,['slack-key guitar'],The Maile Serenaders,20
631eKcz3Nasge2E4Nb5Dhq,32.0,['chamber orchestra'],Philharmonia Virtuosi of New York,22
6cXEOXihPSX8WZYy0NizxC,2138.0,['ilocano pop'],Tres Rosas,7
2DV02poXgodU76YaeJNvfD,196.0,['pinoy traditional'],Luz Morales,12
6FN8edjtVsDXlyAPN7GA4H,325.0,[],The Flying Machine,16
4m9LpZ5l3CEdEhA8W9f29g,1728.0,[],Gunter Kallmann Choir,23
2NieUUnOIzQD6eQaPg5jUj,279.0,[],Truth,13
4hUIm8L2yBg7Ba4qp9qdk9,89.0,[],Charles Kimbrough,28
1dnnFgitgT63Qkm6ATDRLo,2018.0,[],Vince Hill,19
4RJjnfYCmudnzG5AyMVnte,945.0,['northern soul'],Eloise Laws,22
1cQOnBxUoqKD2u49yCKZkG,690.0,[],The Archers,17
7nXQRPT9e2PVP4BFg3je8m,8521.0,['jazz violin'],Noel Pointer,25
3xnBz3jWlSYrxKs5ydT3WZ,115.0,[],Praise Strings,26
2R8SA7qDEZtZnWUfDahsac,2777.0,['classic opm'],The New Minstrels,23
